bua_nombre,poblacion,n_farmacias,demanda_total,demanda_x_farmacia,hab_x_farmacia,items_x_1000hab
Abbots Langley and Kings Langley,18205.0,4,22026.1875,5506.546875,4551.25,1209.8976929414996
Abingdon-on-Thames,33175.0,6,51970.8125,8661.802083333334,5529.166666666667,1566.5655614167295
Accrington,34895.0,12,81074.85729166666,6756.238107638888,2907.9166666666665,2323.394678081864
Ackworth Moor Top,6280.0,1,17352.765625,17352.765625,6280.0,2763.1792396496817
Acle,2265.0,1,6189.875,6189.875,2265.0,2732.8366445916113
Addingham,3250.0,1,7355.765625,7355.765625,3250.0,2263.3125
Addlestone,13745.0,2,18744.171875,9372.0859375,6872.5,1363.7083939614406
Adlington (Chorley),8780.0,2,13439.988839285714,6719.994419642857,4390.0,1530.7504372762774
Adwick le Street,18325.0,7,47527.78125,6789.683035714285,2617.8571428571427,2593.6033424283764
Aintree,6215.0,3,24078.125,8026.041666666667,2071.6666666666665,3874.1954947707163
Albrighton,6985.0,1,9440.140625,9440.140625,6985.0,1351.4875626342161
Alcester,6425.0,3,24255.71710526316,8085.23903508772,2141.6666666666665,3775.208887978702
Alconbury,1465.0,1,5641.1875,5641.1875,1465.0,3850.639931740614
Aldeburgh,2425.0,1,7842.765625,7842.765625,2425.0,3234.130154639175
Alderley Edge,4495.0,2,9991.078125,4995.5390625,2247.5,2222.7092602892103
Aldershot,39825.0,8,71502.203125,8937.775390625,4978.125,1795.409996861268
Aldridge,15835.0,4,29265.61139112903,7316.402847782258,3958.75,1848.1598605070433
Alford (East Lindsey),3830.0,1,11190.666666666666,11190.666666666666,3830.0,2921.8450826805915
Alfreton,8795.0,4,30481.473345588234,7620.368336397059,2198.75,3465.7729784636995
Allendale Town,730.0,1,6514.333333333333,6514.333333333333,730.0,8923.744292237443
Alnwick,8435.0,2,17874.600446428572,8937.300223214286,4217.5,2119.099045219748
Alrewas,2830.0,1,7400.21875,7400.21875,2830.0,2614.918286219081
Alsager,15505.0,3,34953.375,11651.125,5168.333333333333,2254.329248629474
Alston,1075.0,1,2968.828125,2968.828125,1075.0,2761.700581395349
Alton (East Hampshire),17880.0,4,41439.17373251748,10359.79343312937,4470.0,2317.6271662481813
Altrincham,49680.0,14,99763.72585978836,7125.980418556312,3548.5714285714284,2008.1265269683647
Alvechurch,3410.0,1,6501.527777777777,6501.527777777777,3410.0,1906.606386445096
Alveston,2065.0,1,8265.828125,8265.828125,2065.0,4002.822336561743
Amble,5860.0,2,22072.125,11036.0625,2930.0,3766.5742320819113
Ambleside,2625.0,2,7532.796875,3766.3984375,1312.5,2869.6369047619046
Amersham,17380.0,4,21121.40625,5280.3515625,4345.0,1215.2707853855004
Amesbury,12680.0,2,19700.796875,9850.3984375,6340.0,1553.6906052839117
Ampthill,8825.0,1,21130.6875,21130.6875,8825.0,2394.412181303116
Andover,48480.0,8,65975.00757575757,8246.875946969696,6060.0,1360.870618311831
Annesley Woodhouse,6160.0,1,7492.0,7492.0,6160.0,1216.2337662337663
Annfield Plain,7785.0,1,13913.8,13913.8,7785.0,1787.257546563905
Anstey,7045.0,2,10676.781875,5338.3909375,3522.5,1515.5119765791342
Appleby-in-Westmorland,3235.0,1,9680.347826086956,9680.347826086956,3235.0,2992.379544385458
Appley Bridge,5130.0,1,6291.734375,6291.734375,5130.0,1226.4589424951266
Arlesey,6025.0,1,8571.09375,8571.09375,6025.0,1422.5881742738588
Armthorpe,14160.0,2,23949.515625,11974.7578125,7080.0,1691.3499735169491
Arnold,40010.0,8,69234.203125,8654.275390625,5001.25,1730.4224725068734
Arnside,2230.0,1,6457.473684210527,6457.473684210527,2230.0,2895.728109511447
Arundel,3040.0,2,4156.651515151515,2078.3257575757575,1520.0,1367.319577352472
Asfordby,2760.0,1,3897.0,3897.0,2760.0,1411.9565217391303
Ash (Dover),2530.0,1,5042.109375,5042.109375,2530.0,1992.9286067193677
Ash and Ash Vale,24285.0,2,18346.7132034632,9173.3566017316,12142.5,755.4751164695574
Ashbourne,8855.0,2,18950.296875,9475.1484375,4427.5,2140.067405420666
Ashburton,3365.0,1,6779.0,6779.0,3365.0,2014.5616641901931
Ashby-de-la-Zouch,15120.0,4,35038.453125,8759.61328125,3780.0,2317.3580109126983
Ashford (Ashford),82140.0,15,113352.34959677419,7556.823306451613,5476.0,1379.9896469049695
Ashford (Spelthorne),22825.0,6,31202.514344485615,5200.419057414269,3804.1666666666665,1367.032391872316
Ashford Common,8335.0,1,7358.53125,7358.53125,8335.0,882.8471805638873
Ashingdon,6485.0,2,17505.171875,8752.5859375,3242.5,2699.332594448728
Ashington (Horsham),2690.0,1,4002.46875,4002.46875,2690.0,1487.9065985130112
Ashington (Northumberland),28280.0,7,76910.44583333333,10987.206547619047,4040.0,2719.6055810938237
Ashley (New Forest),7725.0,2,15517.5625,7758.78125,3862.5,2008.7459546925568
Ashley Heath,7150.0,1,10239.40625,10239.40625,7150.0,1432.08479020979
Ashtead,14830.0,3,18399.388392857145,6133.129464285715,4943.333333333333,1240.6870123302187
Ashton-in-Makerfield,26375.0,3,30489.015625,10163.005208333334,8791.666666666666,1155.98163507109
