YEAR_MONTH,DISPENSER_ACCOUNT_TYPE,ITEMS,TOTAL_QUANTITY,NIC
202101,English Appliance Contractor,863460.0,53911279.2,51670761.31999999
202101,English Dispensing Doctor,5732244.0,301153244.1,39004799.66
202101,English Personal Administration,746753.0,802887.0,9466529.64
202101,English Pharmacy,83981841.0,7135689368.5,695905553.25
202102,English Appliance Contractor,772458.0,48556812.1,46701838.54
202102,English Dispensing Doctor,5290300.0,280106091.5,35938259.4
202102,English Personal Administration,485473.0,531781.0,6845424.22
202102,English Pharmacy,78980843.0,6700054820.54,654801858.66
202103,English Appliance Contractor,870832.0,59396666.1,49995394.78
202103,English Dispensing Doctor,5879181.0,309642519.6,39884539.34
202103,English Personal Administration,469632.0,534002.5,6999577.640000001
202103,English Pharmacy,88829000.0,7556239042.21,737923151.97
202104,English Appliance Contractor,874011.0,61087122.2,52307456.48
202104,English Dispensing Doctor,5693222.0,301937665.11,38421741.78
202104,English Personal Administration,370378.0,433003.0,5888022.73
202104,English Pharmacy,86079364.0,7336924239.3,710948530.0
202105,English Appliance Contractor,855289.0,59370878.0,50007111.68
202105,English Dispensing Doctor,5553304.0,288642273.9,37481299.77
202105,English Personal Administration,358606.0,426709.0,5627912.890000001
202105,English Pharmacy,82302122.0,6953725199.120001,682234333.54
202106,English Appliance Contractor,939753.0,66178575.2,52941279.92
202106,English Dispensing Doctor,5936421.0,308958344.3,40279298.46
202106,English Personal Administration,336351.0,409526.5,5436989.07
202106,English Pharmacy,88529576.0,7520092027.099999,736116115.21
202107,English Appliance Contractor,932978.0,65329296.7,54463569.57
202107,English Dispensing Doctor,5880204.0,303440788.31,38639084.86
202107,English Personal Administration,340432.0,413222.0,5424463.890000001
202107,English Pharmacy,88344488.0,7463849312.76,713586408.45
202108,English Appliance Contractor,902872.0,62998919.3,53012619.23
202108,English Dispensing Doctor,5654952.0,293535198.2,37088372.11
202108,English Personal Administration,316895.0,378818.5,4975509.34
202108,English Pharmacy,83954475.0,7050795057.84,674037445.31
202109,English Appliance Contractor,940453.0,65268387.2,56096051.99
202109,English Dispensing Doctor,6359051.0,308685358.1,43594368.79
202109,English Personal Administration,1852081.0,1921874.5,21679415.24
202109,English Pharmacy,88112061.0,7474834281.540001,712904113.72
202110,English Appliance Contractor,885721.0,60717153.900000006,53087138.05
202110,English Dispensing Doctor,6758771.0,296004137.9,48332919.04
202110,English Personal Administration,3785603.0,3855723.0,42233489.11
202110,English Pharmacy,84786767.0,7086973786.51,670889886.49
202111,English Appliance Contractor,937116.0,63873318.1,55036567.29
202111,English Dispensing Doctor,6438614.0,299096534.1,44399915.09
202111,English Personal Administration,2359264.0,2437230.5,26805798.290000003
202111,English Pharmacy,88275762.0,7390007632.91,702263114.41
202112,English Appliance Contractor,924936.0,67020715.7,57541595.16
202112,English Dispensing Doctor,6392254.0,319392780.9,42878190.82
202112,English Personal Administration,1529837.0,1605869.0,18225566.67
202112,English Pharmacy,92005675.0,7716575403.42,738431702.86
202201,English Appliance Contractor,924568.0,65308271.5,55084203.92
202201,English Dispensing Doctor,5837195.0,294593408.0,37730106.78
202201,English Personal Administration,811152.0,886727.5,10495220.02
202201,English Pharmacy,86763792.0,7337360110.4,679069065.24
202202,English Appliance Contractor,821343.0,56992677.3,50984287.07
202202,English Dispensing Doctor,5453835.0,284590671.0,35158434.52
202202,English Personal Administration,588342.0,672216.5,7886414.46
202202,English Pharmacy,81408811.0,6923321141.799999,640030931.99
202203,English Appliance Contractor,968980.0,68747054.6,58936437.1
202203,English Dispensing Doctor,6124634.0,316629963.7,39886517.25
202203,English Personal Administration,582364.0,679850.5,8035563.24
202203,English Pharmacy,92491896.0,7867987522.5,732853190.66
202204,English Appliance Contractor,861700.0,62292689.5,51963878.010000005
202204,English Dispensing Doctor,5712629.0,293715238.8,36943293.44
202204,English Personal Administration,414950.0,498143.0,6168472.25
202204,English Pharmacy,86505842.0,7308581369.610001,682248517.2
202205,English Appliance Contractor,940391.0,68024424.7,58440235.01
202205,English Dispensing Doctor,5962701.0,305225877.3,38872030.63
202205,English Personal Administration,428905.0,534038.5,6183522.83
202205,English Pharmacy,90563959.0,7633904084.5,721101729.4300001
202206,English Appliance Contractor,935146.0,65451721.6,56688465.04000001
202206,English Dispensing Doctor,5918606.0,304411081.0,38988273.82
202206,English Personal Administration,417629.0,521946.0,6309400.0
202206,English Pharmacy,88264719.0,7479274287.110001,710383378.9000001
202207,English Appliance Contractor,929360.0,64773041.2,57731629.13
202207,English Dispensing Doctor,5868969.0,303004925.5,39570317.42
202207,English Personal Administration,459244.0,565151.0,6748082.53
202207,English Pharmacy,88056468.0,7479281831.41,724260164.52
202208,English Appliance Contractor,901667.0,63386466.7,55768663.16
202208,English Dispensing Doctor,5986112.0,306997327.7,40454305.13
202208,English Personal Administration,389315.0,488011.0,5909761.25
202208,English Pharmacy,89983043.0,7643740975.8,746706325.47
202209,English Appliance Contractor,949690.0,66237589.7,59590657.14
202209,English Dispensing Doctor,6174479.0,309109698.1,43574191.11
202209,English Personal Administration,1334697.0,1451309.5,18115021.31
202209,English Pharmacy,89202855.0,7539814799.11,749397977.53
202210,English Appliance Contractor,887470.0,60596143.9,56316741.34
202210,English Dispensing Doctor,7034197.0,305221111.9,55054293.7
202210,English Personal Administration,3884353.0,3986744.5,51547348.45
202210,English Pharmacy,88878337.0,7560765204.64,749971841.4300001
202211,English Appliance Contractor,934786.0,65391049.1,57856605.16
202211,English Dispensing Doctor,6495469.0,306414877.0,48188039.17
202211,English Personal Administration,2102653.0,2211911.5,28040268.64
202211,English Pharmacy,91381577.0,7757304343.5,774552246.04
202212,English Appliance Contractor,934549.0,68047220.8,60120891.31
202212,English Dispensing Doctor,6472949.0,320909889.9,47299303.66
202212,English Personal Administration,1572167.0,1677388.0,21619503.14
202212,English Pharmacy,92954726.0,7699964821.299999,801092892.8199999
202301,English Appliance Contractor,975556.0,68467599.3,60896583.35
202301,English Dispensing Doctor,6176136.0,311302089.0,44389687.61
202301,English Personal Administration,1026470.0,1137374.0,14602961.55
202301,English Pharmacy,92083699.0,7858054007.7,796581781.86
202302,English Appliance Contractor,860279.0,60763238.6,53583276.24
202302,English Dispensing Doctor,5671618.0,290944414.8,40642571.57
202302,English Personal Administration,728758.0,828473.0,10577999.27
202302,English Pharmacy,84672252.0,7227430214.700001,734234700.73
202303,English Appliance Contractor,1016292.0,71661106.0,63765260.67
202303,English Dispensing Doctor,6358389.0,324656350.0,45385101.41
202303,English Personal Administration,644590.0,774168.5,9491289.02
202303,English Pharmacy,96436579.0,8236755316.2,837891227.6299999
202304,English Appliance Contractor,858350.0,61886209.4,55249567.72
202304,English Dispensing Doctor,5654435.0,288366792.5,40025485.7
202304,English Personal Administration,453879.0,557478.5,7033457.960000001
202304,English Pharmacy,86229200.0,7270634294.4,744395896.89
202305,English Appliance Contractor,951455.0,66929676.3,60913704.06999999
202305,English Dispensing Doctor,6074249.0,316449493.20000005,43408936.74
202305,English Personal Administration,516841.0,638251.0,7788910.93
202305,English Pharmacy,92493747.0,7840494841.200001,805787494.32
202306,English Appliance Contractor,1025000.0,74016548.0,63783918.99
202306,English Dispensing Doctor,6248692.0,326321292.7,44829491.13
202306,English Personal Administration,504929.0,631306.0,7555550.52
202306,English Pharmacy,94460955.0,8086893860.4,825321702.7900001
202307,English Appliance Contractor,977307.0,68398980.1,61533233.46
202307,English Dispensing Doctor,6023181.0,311407456.0,43232099.25
202307,English Personal Administration,476344.0,596510.5,7085833.84
202307,English Pharmacy,91520353.0,7795824057.200001,798876612.31
202308,English Appliance Contractor,1004954.0,70042705.19999999,62974509.82
202308,English Dispensing Doctor,6174733.0,317420169.1,44032599.33
202308,English Personal Administration,443026.0,563447.5,6844157.57
202308,English Pharmacy,93294638.0,7930809433.7,808678262.42
202309,English Appliance Contractor,987803.0,69774222.3,62603231.19
202309,English Dispensing Doctor,6603340.0,318553687.6,50410018.95999999
202309,English Personal Administration,2386495.0,2529345.0,32291053.73
202309,English Pharmacy,91413823.0,7842801474.5,797138929.47
202310,English Appliance Contractor,930301.0,65683819.5,57801746.3
202310,English Dispensing Doctor,7184887.0,318373402.0,56012931.75
202310,English Personal Administration,3611359.0,3748635.5,48441862.98
202310,English Pharmacy,93365526.0,7902264004.8,777777237.49
202311,English Appliance Contractor,1004946.0,72543350.1,64833534.92999999
202311,English Dispensing Doctor,6485883.0,318477867.1,46297652.06
202311,English Personal Administration,1487903.0,1624588.5,20320149.16
202311,English Pharmacy,94546207.0,8034386676.799999,787465453.96
202312,English Appliance Contractor,980629.0,72103339.4,66652134.12
202312,English Dispensing Doctor,6407890.0,325005986.5,44857219.48
202312,English Personal Administration,1081189.0,1207822.5,15207613.82
202312,English Pharmacy,93793612.0,7888012106.6,785972724.81
202401,English Appliance Contractor,1051786.0,78609855.5,65352856.870000005
202401,English Dispensing Doctor,6357453.0,324909870.4,43572992.51
202401,English Personal Administration,813923.0,952344.5,11834484.88
