YEAR_MONTH,ORG_CODE,ORG_NAME,ITEMS,TOTAL_QUANTITY,NIC
202101,QE1,HEALTHIER LANCASHIRE & SOUTH CUMBRIA STP,3125510.0,225363892.3,25053199.9
202101,QF7,SOUTH YORKSHIRE & BASSETLAW STP,2977455.0,194695198.9,22402851.66
202101,QGH,HEREFORDSHIRE & WORCESTERSHIRE STP,1251177.0,452107477.9,17097869.8
202101,QH8,MID AND SOUTH ESSEX STP,1752843.0,115675602.5,15852489.64
202101,QHG,"BEDFORDSHIRE, LUTON & MILTON KEYNES STP",1209051.0,96189572.2,10586284.67
202101,QHL,BIRMINGHAM & SOLIHULL STP,1620443.0,164657765.2,15849296.56
202101,QHM,CUMBRIA & NORTH EAST STP,6562697.0,423159458.3,46130047.67
202101,QJ2,JOINED UP CARE DERBYSHIRE STP,1553982.0,124433316.0,12915855.45
202101,QJG,SUFFOLK & NORTH EAST ESSEX STP,1858204.0,117743561.2,14585423.95
202101,QJK,DEVON STP,2057011.0,149938693.0,17018661.11
202101,QJM,LINCOLNSHIRE STP,1732548.0,109281815.8,12252351.68
202101,QK1,"LEICESTER, LEICESTERSHIRE & RUTLAND STP",1740115.0,132899849.1,14043208.04
202101,QKK,OUR HEALTHIER SOUTH EAST LONDON STP,1928739.0,160869068.2,17012060.4
202101,QKS,KENT & MEDWAY STP,2716362.0,435019379.2,28143122.21
202101,QM7,HERTFORDSHIRE & WEST ESSEX STP,2206300.0,150138145.0,17533034.29
202101,QMF,EAST LONDON HEALTH & CARE P/SHIP STP,2607999.0,217207116.4,20625061.17
202101,QMJ,NORTH LONDON PARTNERS IN H&C STP,1668228.0,144668868.1,14443080.59
202101,QMM,NORFOLK & WAVENEY H&C PARTNERSHIP STP,1983348.0,132906475.8,14938158.15
202101,QNC,STAFFORDSHIRE & STOKE ON TRENT STP,2146154.0,176801973.5,19613453.69
202101,QNQ,FRIMLEY HEALTH & CARE ICS STP,867598.0,68656479.3,8114209.43
202101,QNX,SUSSEX & EAST SURREY STP,2598860.0,185054007.3,25931470.87
202101,QOC,SHROPSHIRE & TELFORD & WREKIN STP,746163.0,56522307.8,7064552.62
202101,QOP,GREATER MANCHESTER HSC PARTNERSHIP STP,5184603.0,429713750.5,48065284.24
202101,QOQ,"HUMBER, COAST & VALE STP",3165964.0,225485026.8,24693966.74
202101,QOX,"BATH & NE SOMERSET, SWINDON & WILTS STP",1369299.0,96911992.3,10778735.63
202101,QPM,NORTHAMPTONSHIRE STP,1269770.0,76457449.3,9235270.29
202101,QR1,GLOUCESTERSHIRE STP,1031884.0,56526170.7,9399098.81
202101,QRL,HAMPSHIRE & THE ISLE OF WIGHT STP,2505685.0,205050502.3,24413649.34
202101,QRV,NW LONDON HEALTH & CARE PARTNERSHIP STP,3317999.0,244841298.0,26837555.39
202101,QSL,SOMERSET STP,891402.0,62861363.6,7718856.55
202101,QT1,NOTTINGHAM & NOTTINGHAMSHIRE H&C STP,1684578.0,125541434.2,16791264.35
202101,QT6,CORNWALL & SCILLY ISLES HSC P/SHIP STP,1054770.0,67701639.0,8098133.82
202101,QU9,"BUCKS, OXFORDSHIRE & BERKSHIRE WEST STP",2192733.0,159199996.1,20917186.37
202101,QUA,THE BLACK COUNTRY & WEST BIRMINGHAM STP,2233621.0,207617150.7,20434453.54
202101,QUE,CAMBRIDGESHIRE & PETERBOROUGH STP,1641217.0,104120365.1,25766159.16
202101,QUY,"BRISTOL, N SOMERSET & S GLOUCS STP",1339551.0,101708006.4,11523697.86
202101,QVV,DORSET STP,1263404.0,100427176.5,11437387.0
202101,QWE,SW LONDON HEALTH & CARE PARTNERSHIP STP,1824073.0,122957470.8,14489711.36
202101,QWO,W YORKSHIRE & HARROGATE H&C P/SHIP STP,5095773.0,416592144.4,43866893.68
202101,QWU,COVENTRY & WARWICKSHIRE STP,1524591.0,117810706.4,12285412.24
202101,QXU,SURREY HEARTLANDS H&C PARTNERSHIP STP,1111704.0,94551303.0,11383858.37
202101,QYG,CHESHIRE & MERSEYSIDE STP,4710890.0,441491809.7,40705325.58
