YEAR_MONTH,REGION_CODE,REGION_NAME,BNF_CHAPTER_CODE,ITEMS,TOTAL_QUANTITY,NIC
202101,Y56,LONDON,1,1020592.0,78796582.0,6013894.92
202101,Y56,LONDON,2,3385828.0,118117657.0,14671659.67
202101,Y56,LONDON,3,673392.0,14788606.0,9602836.62
202101,Y56,LONDON,4,1949986.0,123526981.0,15846456.42
202101,Y56,LONDON,5,385437.0,13072416.5,2236392.84
202101,Y56,LONDON,6,1379536.0,74863060.0,18569330.12
202101,Y56,LONDON,7,320572.0,14107315.0,2567572.93
202101,Y56,LONDON,8,43968.0,1986088.0,1599882.06
202101,Y56,LONDON,9,745658.0,266433506.0,6477800.7
202101,Y56,LONDON,10,267785.0,18214281.0,1462653.54
202101,Y56,LONDON,11,168377.0,3318273.5,1991677.92
202101,Y56,LONDON,12,106765.0,4072762.5,798632.59
202101,Y56,LONDON,13,320420.0,62713959.5,3137331.28
202101,Y56,LONDON,14,121142.0,121242.0,1180028.55
202101,Y56,LONDON,15,11339.0,268117.0,277932.62
202101,Y56,LONDON,18,3.0,2100.0,367.5
202101,Y56,LONDON,19,9366.0,9325167.0,224140.84
202101,Y56,LONDON,20,44472.0,1268612.0,1147207.67
202101,Y56,LONDON,21,345859.0,81417609.5,3978563.16
202101,Y56,LONDON,22,12915.0,250940.0,337457.69
202101,Y56,LONDON,23,33626.0,3878546.0,1285649.27
202101,Y58,SOUTH WEST,1,870202.0,65634559.0,4728106.77
202101,Y58,SOUTH WEST,2,2689232.0,96779891.0,14347771.0
202101,Y58,SOUTH WEST,3,546807.0,9854028.0,8678058.31
202101,Y58,SOUTH WEST,4,1852855.0,131356702.2,14044984.88
202101,Y58,SOUTH WEST,5,264869.0,8728033.5,1721158.74
202101,Y58,SOUTH WEST,6,916050.0,45062473.5,11403552.78
202101,Y58,SOUTH WEST,7,277551.0,12514413.0,2389671.55
202101,Y58,SOUTH WEST,8,40434.0,1636194.0,1752995.97
202101,Y58,SOUTH WEST,9,476511.0,153526635.5,3785426.37
202101,Y58,SOUTH WEST,10,246144.0,15165379.0,1477130.46
202101,Y58,SOUTH WEST,11,134986.0,1999506.5,1294849.44
202101,Y58,SOUTH WEST,12,75733.0,1673240.9,528905.14
202101,Y58,SOUTH WEST,13,196598.0,33009506.5,1779466.83
202101,Y58,SOUTH WEST,14,42177.0,42190.0,409636.58
202101,Y58,SOUTH WEST,15,17474.0,214927.0,200673.69
202101,Y58,SOUTH WEST,19,7159.0,3887380.0,181574.42
202101,Y58,SOUTH WEST,20,34493.0,694968.0,662304.71
202101,Y58,SOUTH WEST,21,250519.0,50170164.5,4514465.69
202101,Y58,SOUTH WEST,22,25087.0,433326.0,592027.88
202101,Y58,SOUTH WEST,23,42440.0,3691523.4,1481809.57
202101,Y59,SOUTH EAST,1,1108476.0,89374834.0,7024360.64
202101,Y59,SOUTH EAST,2,3472117.0,138079284.0,20024804.54
202101,Y59,SOUTH EAST,3,752336.0,14846353.0,12237366.15
202101,Y59,SOUTH EAST,4,2371363.0,166139332.2,20710463.62
202101,Y59,SOUTH EAST,5,419003.0,14438293.0,2672681.77
202101,Y59,SOUTH EAST,6,1254710.0,68030589.5,18574181.27
202101,Y59,SOUTH EAST,7,367792.0,18104960.0,3413756.62
202101,Y59,SOUTH EAST,8,60648.0,2744665.0,2689617.84
202101,Y59,SOUTH EAST,9,689155.0,473648687.0,9899160.57
202101,Y59,SOUTH EAST,10,313368.0,20627192.0,1944575.9
202101,Y59,SOUTH EAST,11,182414.0,3155941.5,1978891.05
202101,Y59,SOUTH EAST,12,113057.0,2271068.6,826589.4
202101,Y59,SOUTH EAST,13,279975.0,48729848.0,2766653.82
202101,Y59,SOUTH EAST,14,85829.0,85880.0,819541.29
202101,Y59,SOUTH EAST,15,19539.0,996649.0,288225.25
202101,Y59,SOUTH EAST,18,3.0,1200.0,210.0
202101,Y59,SOUTH EAST,19,11031.0,7783694.0,345751.33
202101,Y59,SOUTH EAST,20,37951.0,1741995.2,1065983.16
202101,Y59,SOUTH EAST,21,329070.0,67242890.0,5658673.91
202101,Y59,SOUTH EAST,22,33730.0,659867.0,821460.91
202101,Y59,SOUTH EAST,23,91375.0,8828444.2,5140547.55
202101,Y60,MIDLANDS,1,1636946.0,139430502.0,9102968.65
202101,Y60,MIDLANDS,2,5164489.0,188064052.0,25404915.21
202101,Y60,MIDLANDS,3,1154008.0,22178452.0,16884374.4
202101,Y60,MIDLANDS,4,3471569.0,260529629.2,27919939.18
202101,Y60,MIDLANDS,5,547718.0,18529392.5,3255687.22
202101,Y60,MIDLANDS,6,1806315.0,91743018.0,24247763.13
202101,Y60,MIDLANDS,7,482027.0,22658641.0,3881606.54
202101,Y60,MIDLANDS,8,66517.0,2694788.0,2790598.18
202101,Y60,MIDLANDS,9,923648.0,746428429.5,15337827.82
202101,Y60,MIDLANDS,10,461395.0,31927692.0,2412731.62
202101,Y60,MIDLANDS,11,264740.0,4626350.0,2709866.71
202101,Y60,MIDLANDS,12,157253.0,4399801.6,1089541.67
202101,Y60,MIDLANDS,13,417049.0,78671304.5,3924931.1
202101,Y60,MIDLANDS,14,110620.0,110675.0,1080100.92
202101,Y60,MIDLANDS,15,20836.0,7355850.0,277028.17
202101,Y60,MIDLANDS,19,15610.0,10432839.0,497459.37
202101,Y60,MIDLANDS,20,122397.0,3112731.3,3694042.42
202101,Y60,MIDLANDS,21,551055.0,100893459.5,7359064.77
202101,Y60,MIDLANDS,22,26446.0,514315.0,674473.91
202101,Y60,MIDLANDS,23,102504.0,9829323.8,5038067.27
202101,Y61,EAST OF ENGLAND,1,969554.0,71782140.0,5671055.14
202101,Y61,EAST OF ENGLAND,2,3235821.0,109920508.0,15330395.420000002
202101,Y61,EAST OF ENGLAND,3,672838.0,12285567.0,9627088.03
202101,Y61,EAST OF ENGLAND,4,2054892.0,134139459.6,15776465.9
202101,Y61,EAST OF ENGLAND,5,346742.0,11515256.0,2063527.97
202101,Y61,EAST OF ENGLAND,6,1141338.0,54609830.0,13692087.32
202101,Y61,EAST OF ENGLAND,7,318423.0,14113983.0,2488789.6500000004
202101,Y61,EAST OF ENGLAND,8,53366.0,2207109.0,2160716.62
202101,Y61,EAST OF ENGLAND,9,488045.0,175492702.0,4702464.0
202101,Y61,EAST OF ENGLAND,10,269452.0,16368177.0,1628444.76
202101,Y61,EAST OF ENGLAND,11,147793.0,2294330.5,1515599.84
202101,Y61,EAST OF ENGLAND,12,89268.0,1704301.4,615656.81
202101,Y61,EAST OF ENGLAND,13,217059.0,34696269.0,2033315.72
202101,Y61,EAST OF ENGLAND,14,80296.0,80319.0,758536.25
202101,Y61,EAST OF ENGLAND,15,12784.0,206999.5,175776.5
202101,Y61,EAST OF ENGLAND,19,9480.0,5984088.0,296219.4
202101,Y61,EAST OF ENGLAND,20,33466.0,1102782.0,968753.45
202101,Y61,EAST OF ENGLAND,21,317626.0,55858348.5,8696843.84
202101,Y61,EAST OF ENGLAND,22,54575.0,1043532.0,1487438.39
202101,Y61,EAST OF ENGLAND,23,138145.0,11368020.3,9572374.85
202101,Y62,NORTH WEST,1,1268501.0,110518663.0,7218335.54
202101,Y62,NORTH WEST,2,3670839.0,130368852.0,17470268.4
202101,Y62,NORTH WEST,3,912976.0,17162337.0,13200862.15
202101,Y62,NORTH WEST,4,2779185.0,200567513.8,21435960.22
202101,Y62,NORTH WEST,5,393752.0,13529908.0,2395671.75
202101,Y62,NORTH WEST,6,1211114.0,58527020.5,16082295.18
202101,Y62,NORTH WEST,7,341798.0,14857232.0,2889961.85
202101,Y62,NORTH WEST,8,44448.0,1740857.0,1529083.82
202101,Y62,NORTH WEST,9,703392.0,369767113.0,7785068.03
202101,Y62,NORTH WEST,10,337611.0,23523180.0,1865390.05
202101,Y62,NORTH WEST,11,171187.0,2549388.0,1576555.56
202101,Y62,NORTH WEST,12,114733.0,3203430.0,858981.62
202101,Y62,NORTH WEST,13,333438.0,68194558.0,3301179.13
202101,Y62,NORTH WEST,14,78167.0,78218.0,768898.26
202101,Y62,NORTH WEST,15,19204.0,328460.0,341549.97
202101,Y62,NORTH WEST,19,12705.0,7565449.0,399318.03
202101,Y62,NORTH WEST,20,152730.0,3565398.5,4390940.65
202101,Y62,NORTH WEST,21,357551.0,61647391.5,5689931.56
202101,Y62,NORTH WEST,22,32291.0,656565.0,802342.63
202101,Y62,NORTH WEST,23,85381.0,8217918.2,3821215.32
202101,Y63,NORTH EAST AND YORKSHIRE,1,1794123.0,143328666.0,9312730.52
202101,Y63,NORTH EAST AND YORKSHIRE,2,5418929.0,174328996.0,22966637.04
202101,Y63,NORTH EAST AND YORKSHIRE,3,1188875.0,21660100.0,17373227.23
202101,Y63,NORTH EAST AND YORKSHIRE,4,3722846.0,258703100.0,26164576.51
202101,Y63,NORTH EAST AND YORKSHIRE,5,476107.0,16128325.5,3030264.61
202101,Y63,NORTH EAST AND YORKSHIRE,6,1770873.0,80296674.0,20936014.08
202101,Y63,NORTH EAST AND YORKSHIRE,7,487051.0,21076103.0,3817346.84
202101,Y63,NORTH EAST AND YORKSHIRE,8,71122.0,2906408.0,2688666.18
202101,Y63,NORTH EAST AND YORKSHIRE,9,966609.0,327434691.5,9622230.83
202101,Y63,NORTH EAST AND YORKSHIRE,10,495518.0,32397625.0,2518184.01
202101,Y63,NORTH EAST AND YORKSHIRE,11,222485.0,3172419.5,2014652.28
202101,Y63,NORTH EAST AND YORKSHIRE,12,143366.0,3493313.6,982254.24
202101,Y63,NORTH EAST AND YORKSHIRE,13,386657.0,71368469.0,3724604.35
202101,Y63,NORTH EAST AND YORKSHIRE,14,81839.0,81871.0,772200.2
202101,Y63,NORTH EAST AND YORKSHIRE,15,17031.0,5688231.5,276515.64
202101,Y63,NORTH EAST AND YORKSHIRE,18,1.0,200.0,35.0
202101,Y63,NORTH EAST AND YORKSHIRE,19,15339.0,8748302.0,420950.41
202101,Y63,NORTH EAST AND YORKSHIRE,20,48340.0,1403624.1,1438929.05
202101,Y63,NORTH EAST AND YORKSHIRE,21,422751.0,81519364.0,5851655.01
202101,Y63,NORTH EAST AND YORKSHIRE,22,12734.0,243302.0,324690.06
202101,Y63,NORTH EAST AND YORKSHIRE,23,59293.0,5952042.7,2857395.66
202102,Y56,LONDON,1,967735.0,74457692.0,5678826.06
202102,Y56,LONDON,2,3195334.0,111477992.0,13969748.19
202102,Y56,LONDON,3,620461.0,13898206.0,8872231.84
202102,Y56,LONDON,4,1847448.0,117006665.8,14956868.1
202102,Y56,LONDON,5,332861.0,11708039.5,2062855.04
202102,Y56,LONDON,6,1298032.0,70364606.0,17571359.96
202102,Y56,LONDON,7,298714.0,12911156.0,2435662.47
202102,Y56,LONDON,8,41120.0,1859072.0,1497919.49
202102,Y56,LONDON,9,703735.0,249019557.5,6121683.13
202102,Y56,LONDON,10,256212.0,17311035.0,1402021.49
202102,Y56,LONDON,11,158493.0,3117449.0,1888570.78
202102,Y56,LONDON,12,103981.0,4029473.1,773914.03
202102,Y56,LONDON,13,317195.0,60452288.91,3080589.83
202102,Y56,LONDON,14,76989.0,77096.0,784254.82
202102,Y56,LONDON,15,9742.0,240869.5,250667.56
202102,Y56,LONDON,18,3.0,3000.0,525.0
202102,Y56,LONDON,19,8714.0,8780783.0,205735.83
202102,Y56,LONDON,20,43018.0,1215965.8,1150759.68
202102,Y56,LONDON,21,331793.0,78373464.5,3823345.78
202102,Y56,LONDON,22,11826.0,227496.0,307719.94
202102,Y56,LONDON,23,31380.0,3622599.7,1175694.44
202102,Y58,SOUTH WEST,1,811824.0,60826654.0,4343052.81
202102,Y58,SOUTH WEST,2,2514316.0,90235996.0,13448381.82
202102,Y58,SOUTH WEST,3,495508.0,9140048.0,7880011.68
202102,Y58,SOUTH WEST,4,1732295.0,122690894.0,13004341.41
202102,Y58,SOUTH WEST,5,242409.0,7981170.5,1627898.66
202102,Y58,SOUTH WEST,6,851922.0,41828693.0,10666503.79
202102,Y58,SOUTH WEST,7,257080.0,11350777.0,2232099.79
202102,Y58,SOUTH WEST,8,37192.0,1505666.0,1552334.16
202102,Y58,SOUTH WEST,9,448211.0,144740134.5,3579708.6
202102,Y58,SOUTH WEST,10,230016.0,14167619.0,1378940.86
202102,Y58,SOUTH WEST,11,124987.0,1840948.5,1183713.32
202102,Y58,SOUTH WEST,12,71425.0,1564780.5,495871.36
202102,Y58,SOUTH WEST,13,190629.0,31088698.91,1707862.15
202102,Y58,SOUTH WEST,14,19452.0,19465.0,192196.59
202102,Y58,SOUTH WEST,15,15695.0,192251.5,178644.56
202102,Y58,SOUTH WEST,18,1.0,100.0,17.5
202102,Y58,SOUTH WEST,19,6736.0,3753089.0,178206.08000000002
202102,Y58,SOUTH WEST,20,32122.0,607052.9,606521.49
202102,Y58,SOUTH WEST,21,237475.0,48043742.5,4211563.56
202102,Y58,SOUTH WEST,22,22793.0,390903.0,527860.87
202102,Y58,SOUTH WEST,23,39470.0,3403595.9,1352660.56
202102,Y59,SOUTH EAST,1,1042388.0,83209759.0,6560931.25
202102,Y59,SOUTH EAST,2,3269345.0,129818189.0,19011203.92
202102,Y59,SOUTH EAST,3,684766.0,13921208.0,11171559.53
202102,Y59,SOUTH EAST,4,2220030.0,154539662.6,19264009.23
202102,Y59,SOUTH EAST,5,376285.0,13024930.0,2508332.33
202102,Y59,SOUTH EAST,6,1174796.0,63561552.0,17493699.27
202102,Y59,SOUTH EAST,7,341963.0,16380604.0,3221507.68
202102,Y59,SOUTH EAST,8,56478.0,2531135.0,2487231.74
202102,Y59,SOUTH EAST,9,652682.0,448233215.0,9373540.9
202102,Y59,SOUTH EAST,10,295643.0,19265318.0,1826806.13
202102,Y59,SOUTH EAST,11,170442.0,2931416.0,1847853.51
202102,Y59,SOUTH EAST,12,108572.0,2197060.9,788821.53
202102,Y59,SOUTH EAST,13,273642.0,46471656.5,2706627.05
202102,Y59,SOUTH EAST,14,42142.0,42179.0,426635.93
202102,Y59,SOUTH EAST,15,16783.0,964758.5,253793.84
202102,Y59,SOUTH EAST,18,1.0,100.0,17.5
202102,Y59,SOUTH EAST,19,10003.0,6928904.0,318913.57
202102,Y59,SOUTH EAST,20,35375.0,1689540.4,961417.23
202102,Y59,SOUTH EAST,21,313822.0,64498427.5,5448676.18
202102,Y59,SOUTH EAST,22,30682.0,597898.0,740742.76
202102,Y59,SOUTH EAST,23,85415.0,8173851.3,4940690.32
202102,Y60,MIDLANDS,1,1542677.0,130446052.0,8442496.64
202102,Y60,MIDLANDS,2,4870070.0,177211191.0,24170934.56
202102,Y60,MIDLANDS,3,1060663.0,20787692.0,15600597.53
202102,Y60,MIDLANDS,4,3268559.0,244819090.6,26218983.91
202102,Y60,MIDLANDS,5,500934.0,17131948.5,3148704.1
202102,Y60,MIDLANDS,6,1695356.0,86059922.0,22875828.89
202102,Y60,MIDLANDS,7,449094.0,20567871.0,3664076.04
202102,Y60,MIDLANDS,8,61979.0,2462536.0,2606299.13
202102,Y60,MIDLANDS,9,876612.0,704944584.0,14648518.31
202102,Y60,MIDLANDS,10,434449.0,29859918.0,2275917.58
202102,Y60,MIDLANDS,11,248562.0,4343263.0,2541300.77
202102,Y60,MIDLANDS,12,150996.0,4293403.9,1042843.47
202102,Y60,MIDLANDS,13,406127.0,75198808.41,3804754.96
202102,Y60,MIDLANDS,14,53092.0,53177.0,523019.67
202102,Y60,MIDLANDS,15,19590.0,321796.0,256754.99
202102,Y60,MIDLANDS,18,1.0,1000.0,175.0
202102,Y60,MIDLANDS,19,14380.0,9573613.0,469732.1
202102,Y60,MIDLANDS,20,109134.0,2763337.3,3222391.51
