nombre,mes_switch,mes_quiebre,gap_meses,caida_pct,gasto_total_M
Apixaban,202205,202307,14,92.32673251946333,1247.9566159400001
Dapagliflozin,202506,202509,3,85.33052772227767,1082.03465839
Rivaroxaban,202404,202409,5,96.95930046246765,889.8977288000001
Sitagliptin,202209,202307,10,94.3092047784087,246.60667471000002
Ticagrelor,202506,202601,7,92.25650378153321,148.43784306999999
Ranolazine,202307,202404,9,85.24322276344121,131.78867523
Colesevelam hydrochloride,202109,202401,28,-41.294966772912,111.95254769999998
Dabigatran etexilate,202312,202504,16,86.96497259529922,79.13259406
Lacosamide,202209,202304,7,87.9797716726334,65.18158038000001
Ivermectin,202405,202405,0,-9.160642526317098,26.23474862
Metformin hydrochloride/sitagliptin,202304,202401,9,80.54500069637658,20.114926360000002
Fesoterodine fumarate,202204,202304,12,69.9018609471503,15.107902480000002
Erythromycin,202402,202502,12,-8.638762572050407,9.918943389999999
Clonidine hydrochloride,202107,202201,6,-96.87010716896778,4.7703901900000005
Eletriptan,202307,202510,27,14.666420736701735,4.6073270299999995
Vildagliptin,202209,202410,25,77.25615948050319,4.43097272
Metyrapone,202306,202306,0,12.774991372143996,2.8199211900000005
Nadolol,202209,202211,2,-153.36710017113737,2.19878073
Dapoxetine hydrochloride,202402,202601,23,-34.27053412718506,1.7278280999999998
Eltrombopag,202509,202604,7,23.761904761904763,0.9190775
Baricitinib,202501,202501,0,-26.860841423948223,0.50215158
Mefloquine hydrochloride,202504,202504,0,-65.23404147434691,0.05053169
