YEAR_MONTH,BNF_CHAPTER_CODE,BNF_CHAPTER,ITEMS,TOTAL_QUANTITY,NIC
202101,1,Gastro-Intestinal System,8668394.0,698865946.0,49071452.18
202101,10,Musculoskeletal and Joint Diseases,2391273.0,158223526.0,13309110.34
202101,11,Eye,1291982.0,21116209.5,13082092.8
202101,12,"Ear, Nose and Oropharynx",800175.0,20817918.6,5700561.47
202101,13,Skin,2151196.0,397383914.5,20667482.23
202101,14,Immunological Products and Vaccines,600070.0,600395.0,5788942.05
202101,15,Anaesthesia,118207.0,15059234.0,1837701.84
202101,18,Preparations used in Diagnosis,7.0,3500.0,612.5
202101,19,Other Drugs and Preparations,80690.0,53726919.0,2365413.8000000003
202101,2,Cardiovascular System,27037255.0,955659240.0,130216451.28
202101,20,Dressings,473849.0,12890111.1,13368161.11
202101,21,Appliances,2574431.0,498749227.5,41749197.94
202101,22,Incontinence Appliances,197778.0,3801847.0,5039891.47
202101,23,Stoma Appliances,552764.0,51765818.6,29197059.49
202101,3,Respiratory System,5901232.0,112775443.0,87603812.89
202101,4,Central Nervous System,18202696.0,1274962718.0,141898846.73
202101,5,Infections,2833628.0,95941625.0,17375384.9
202101,6,Endocrine System,9479936.0,473132665.5,123505223.88
202101,7,"Obstetrics, Gynaecology and Urinary-Tract Disorders",2595214.0,117432647.0,21448705.98
202101,8,Malignant Disease and Immunosuppression,380503.0,15916109.0,15211560.67
202101,9,Nutrition and Blood,4993018.0,2512731764.5,57609978.32000001
202102,1,Gastro-Intestinal System,8167774.0,653457880.0,45764841.07
202102,10,Musculoskeletal and Joint Diseases,2260305.0,148846396.0,12604151.24
202102,11,Eye,1211528.0,19780244.5,12267968.18
202102,12,"Ear, Nose and Oropharynx",766026.0,20319034.700000003,5437152.37
202102,13,Skin,2097981.0,379703448.64,20098745.19
202102,14,Immunological Products and Vaccines,294191.0,294576.0,2937065.22
202102,15,Anaesthesia,107207.0,7878885.5,1667181.22
202102,18,Preparations used in Diagnosis,9.0,7500.0,1312.5
202102,19,Other Drugs and Preparations,73717.0,49769267.0,2152339.11
202102,2,Cardiovascular System,25480268.0,900298896.0,123723927.13
202102,20,Dressings,422442.0,11622450.0,11797380.08
202102,21,Appliances,2446796.0,476723677.5,39139379.95
202102,22,Incontinence Appliances,177178.0,3400224.0,4494395.62
202102,23,Stoma Appliances,511443.0,47663418.8,27041235.910000004
202102,3,Respiratory System,5420683.0,105854467.0,80685557.33
202102,4,Central Nervous System,17142404.0,1197328665.0,132884118.37
202102,5,Infections,2564066.0,87817692.0,16495727.48
202102,6,Endocrine System,8892613.0,443612043.5,116450756.34
