YEAR_MONTH,BNF_CHEMICAL_SUBSTANCE_CODE,BNF_CHEMICAL_SUBSTANCE,ITEMS,TOTAL_QUANTITY,NIC
202101,0101010C0,Aluminium hydroxide,3.0,84.0,9.6
202101,0101010F0,Magnesium carbonate,37.0,2477.0,8734.130000000001
202101,0101010G0,Co-magaldrox (Magnesium/aluminium hydroxide),4472.0,2658435.0,17159.15
202101,0101010I0,Magnesium oxide,368.0,36436.0,36450.56
202101,0101010J0,Magnesium trisilicate,249.0,75599.0,2389.12
202101,0101010L0,Aluminium and magnesium and activated simeticone,908.0,443650.0,5164.18
202101,0101010N0,Aluminium and magnesium and oxetacaine,218.0,85910.0,8569.2
202101,0101010P0,Co-simalcite (Simeticone/hydrotalcite),4.0,2000.0,20.8
202101,0101010Q0,Magnesium hydroxide,208.0,108300.0,1738.15
202101,0101010R0,Simeticone,2126.0,162093.0,14439.7
202101,0101010U0,Sodium citrate,7.0,10470.0,1640.3000000000002
202101,0101012A0,Gripe mixtures,1.0,150.0,2.58
202101,0101012B0,Sodium bicarbonate,650.0,408494.0,144546.47
202101,010102100,Compound alginates and proprietary indigestion preparations,381.0,58747.0,4538.74
202101,0101021B0,Alginic acid compound preparations,364288.0,180200984.0,1949052.04
202101,0101021C0,Calcium carbonate,658.0,58571.0,21943.88
202101,0102000A0,Alverine citrate,18703.0,1537274.0,164657.28999999998
202101,0102000AC,Atropine sulfate,5.0,1400.0,1662.52
202101,0102000AJ,Alverine citrate/simeticone,12.0,1044.0,127.61
202101,0102000D0,Compound antispasmodic preparations,6.0,160.0,24.24
202101,0102000H0,Belladonna alkaloids,154.0,1029.0,2215.21
202101,0102000J0,Dicycloverine hydrochloride,2300.0,233142.0,500694.41
202101,0102000K0,Dicycloverine hydrochloride compound preparations,2292.0,1318030.0,17144.760000000002
202101,0102000L0,Glycopyrronium bromide,5393.0,1517297.0,1778490.66
202101,0102000N0,Hyoscine butylbromide,132884.0,10761097.0,615024.45
202101,0102000P0,Mebeverine hydrochloride,172209.0,13553360.0,1082261.01
202101,0102000T0,Peppermint oil,43262.0,3614053.0,386340.03
202101,0102000X0,Mebeverine hydrochloride compound preparations,5326.0,286457.0,177876.89
202101,0102000Y0,Propantheline bromide,4793.0,494897.0,92002.03
202101,010300000,Other test for helicobacter pylori preparations,659.0,660.0,12442.5
202101,0103010D0,Cimetidine,3720.0,935592.0,87304.48999999999
202101,0103010H0,Famotidine,41639.0,1527752.0,1456347.52
202101,0103010N0,Nizatidine,7526.0,296574.0,187070.87
202101,0103010T0,Ranitidine hydrochloride,5985.0,290837.0,41712.93
202101,0103020P0,Pirenzepine,153.0,6128.0,24906.85
202101,0103030S0,Sucralfate,1266.0,256854.0,292459.92
202101,0103040M0,Misoprostol,397.0,25436.0,4251.83
202101,0103050E0,Esomeprazole,201654.0,8450008.0,1682273.27
202101,0103050L0,Lansoprazole,2503504.0,81726387.0,4254858.92
202101,0103050P0,Omeprazole,2888531.0,110833856.0,7718655.359999999
202101,0103050R0,Pantoprazole,128074.0,4914387.0,427843.16
202101,0103050T0,Rabeprazole sodium,30632.0,1211693.0,88181.51999999999
202101,0104020H0,Co-phenotrope (Diphenox hydrochloride/atropine sulfate),123.0,9881.0,27213.71
202101,0104020L0,Loperamide hydrochloride,132485.0,12095514.0,1020009.14
202101,0104020N0,Opium and morphine,19.0,4300.0,62.85
202101,0104020P0,Loperamide hydrochloride and simeticone,226.0,13248.0,5615.81
202101,0105010B0,Mesalazine (Systemic),128482.0,15485557.0,7335699.83
202101,0105010C0,Olsalazine sodium,930.0,112799.0,220112.93
202101,0105010D0,Balsalazide sodium,3718.0,714250.0,167135.0
202101,0105010E0,Sulfasalazine,72285.0,9545846.0,889890.25
202101,0105020A0,Budesonide,7534.0,451193.0,566505.05
202101,0105020B0,Hydrocortisone acetate,16.0,27.0,338.25
202101,0105020C0,Hydrocortisone,2.0,20.0,610.51
202101,0105020D0,Prednisolone sodium metasulphobenzoate,1662.0,2645.0,494615.0
202101,0105020E0,Prednisolone sodium phosphate,400.0,9462.0,75451.1
202101,0105020G0,Beclometasone dipropionate (Systemic),456.0,13765.0,25951.68
202101,0105040A0,Sodium cromoglicate,1073.0,216945.0,91623.59
202101,0106010E0,Ispaghula husk,88616.0,4634011.0,513950.68000000005
202101,0106010H0,Methylcellulose,449.0,49480.0,1422.78
202101,0106010N0,Sterculia,3175.0,1162330.0,28379.79
202101,010602000,Other stimulant laxative preparations,2.0,96.0,29.92
202101,0106020B0,Co-danthramer (Dantron/poloxamer 188),140.0,45430.0,31370.5
202101,0106020C0,Bisacodyl,89498.0,4261567.0,238544.44
202101,0106020F0,Castor oil,6.0,2300.0,54.78
202101,0106020I0,Docusate sodium,151958.0,17855839.0,1032998.48
202101,0106020J0,Co-danthrusate (Dantron/docusate sodium),30.0,8680.0,8788.5
202101,0106020L0,Glycerol,20993.0,423890.0,64435.36
202101,0106020M0,Senna,347945.0,24221244.0,901050.59
202101,0106020P0,Sodium picosulfate,16047.0,4840119.0,126329.86
202101,0106030A0,Arachis oil,57.0,245.0,11637.5
202101,0106030P0,Liquid paraffin,133.0,74150.0,634.76
202101,010604000,Other osmotic laxative preparations,289.0,876.0,3629.56
202101,0106040G0,Lactulose,227151.0,125328298.0,972627.97
202101,0106040J0,Magnesium hydroxide,133.0,69170.0,1113.65
202101,0106040L0,Magnesium sulfate,17.0,33250.0,220.78
202101,0106040M0,Macrogol 3350,572005.0,28101118.0,4011604.59
202101,0106040N0,Phosphates (Rectal),5297.0,47202.0,687803.35
202101,0106040R0,Sodium citrate (Rectal),7474.0,117671.0,47549.34
202101,0106040X0,Macrogol 4000,1.0,30.0,6.03
202101,0106050B0,Bowel cleansing solutions,718.0,5104.0,13284.4
202101,0106050M0,Magnesium citrate,31.0,334.0,684.7
202101,0106050S0,Sodium picosulfate,1081.0,10459.0,17727.49
202101,0106050U0,Phosphates,1.0,90.0,4.79
202101,0106060A0,Methylnaltrexone bromide,5.0,23.0,484.15
202101,0106060B0,Naloxegol,3160.0,73075.0,134458.0
202101,0106060C0,Naldemedine,23.0,560.0,834.4
202101,0106070A0,Prucalopride,11910.0,363234.0,707417.0800000001
202101,0106070B0,Linaclotide,4626.0,150444.0,201809.88
202101,0106070C0,Lubiprostone,3.0,140.0,139.58
202101,010701000,Other soothing haemorrhoidal preparations,65.0,2325.0,201.81
202101,0107010AA,Diltiazem hydrochloride,2244.0,74305.0,38887.67
202101,0107010I0,Hamamelis,57.0,3175.0,224.59
202101,0107010N0,Lidocaine hydrochloride,1001.0,39735.0,4431.610000000001
202101,0107010S0,Sucralfate,35.0,1070.0,10608.45
202101,0107010Z0,Zinc oxide,13196.0,373202.0,41391.62
202101,0107020F0,Fluocortolone,117.0,3111.0,904.05
202101,0107020J0,Hydrocortisone,50786.0,1327034.0,297219.24
202101,0107020P0,Prednisolone,36804.0,913402.0,102256.19
202101,0107030P0,Phenol,4.0,4.0,34.12
202101,0107040A0,Glyceryl trinitrate,6786.0,209300.0,273148.82
202101,0108010S0,"Skin protectives,fillers and cleansers",7.0,722.0,39.8
202101,0109010G0,Chenodeoxycholic acid,1.0,56.0,7840.0
202101,0109010R0,Other preparations for biliary disorders,2.0,290.0,42.63
202101,0109010U0,Ursodeoxycholic acid,28013.0,3073436.0,932064.86
202101,0109040N0,Pancreatin,51234.0,14181064.0,3367065.49
202101,0201010F0,Digoxin,220518.0,5757730.0,338030.59
202101,0202010B0,Bendroflumethiazide,636046.0,22637362.0,685949.59
202101,0202010D0,Chlorothiazide,226.0,31918.0,11049.97
