YEAR_MONTH,BNF_CHEMICAL_SUBSTANCE_CODE,BNF_CHEMICAL_SUBSTANCE,PREP_CLASS,PRESCRIBED_PREP_CLASS,ITEMS,NIC
202101,0101010C0,Aluminium hydroxide,03,02,3.0,9.6
202101,0101010F0,Magnesium carbonate,03,01,25.0,6062.53
202101,0101010F0,Magnesium carbonate,03,03,1.0,92.2
202101,0101010F0,Magnesium carbonate,05,05,11.0,2579.4
202101,0101010G0,Co-magaldrox (Magnesium/aluminium hydroxide),03,02,1882.0,6994.24
202101,0101010G0,Co-magaldrox (Magnesium/aluminium hydroxide),03,03,2590.0,10164.91
202101,0101010I0,Magnesium oxide,03,01,205.0,16203.28
202101,0101010I0,Magnesium oxide,03,02,48.0,4405.52
202101,0101010I0,Magnesium oxide,03,03,77.0,6360.79
202101,0101010I0,Magnesium oxide,05,01,3.0,402.07
202101,0101010I0,Magnesium oxide,05,05,35.0,9078.9
202101,0101010J0,Magnesium trisilicate,01,01,248.0,2358.01
202101,0101010J0,Magnesium trisilicate,05,05,1.0,31.11
202101,0101010L0,Aluminium and magnesium and activated simeticone,03,02,1.0,2.91
202101,0101010L0,Aluminium and magnesium and activated simeticone,03,03,907.0,5161.27
202101,0101010N0,Aluminium and magnesium and oxetacaine,05,05,218.0,8569.2
202101,0101010P0,Co-simalcite (Simeticone/hydrotalcite),03,02,2.0,10.4
202101,0101010P0,Co-simalcite (Simeticone/hydrotalcite),03,03,2.0,10.4
202101,0101010Q0,Magnesium hydroxide,01,01,128.0,1111.87
202101,0101010Q0,Magnesium hydroxide,03,03,79.0,615.66
202101,0101010Q0,Magnesium hydroxide,05,05,1.0,10.62
202101,0101010R0,Simeticone,03,02,1257.0,9852.13
202101,0101010R0,Simeticone,03,03,869.0,4587.57
202101,0101010U0,Sodium citrate,03,02,5.0,935.3
202101,0101010U0,Sodium citrate,03,03,2.0,705.0
202101,0101012A0,Gripe mixtures,03,03,1.0,2.58
202101,0101012B0,Sodium bicarbonate,01,01,74.0,200.7
202101,0101012B0,Sodium bicarbonate,02,02,332.0,78690.97
202101,0101012B0,Sodium bicarbonate,03,01,18.0,5605.04
202101,0101012B0,Sodium bicarbonate,03,02,93.0,27922.28
202101,0101012B0,Sodium bicarbonate,03,03,121.0,28618.35
202101,0101012B0,Sodium bicarbonate,05,05,12.0,3509.13
202101,010102100,Compound alginates and proprietary indigestion preparations,03,02,188.0,3171.57
202101,010102100,Compound alginates and proprietary indigestion preparations,03,03,193.0,1367.17
202101,0101021B0,Alginic acid compound preparations,02,02,31864.0,159165.7
202101,0101021B0,Alginic acid compound preparations,03,02,12240.0,59208.21000000001
202101,0101021B0,Alginic acid compound preparations,03,03,320184.0,1730678.13
202101,0101021C0,Calcium carbonate,03,01,15.0,6255.9
202101,0101021C0,Calcium carbonate,03,02,537.0,1719.21
202101,0101021C0,Calcium carbonate,03,03,18.0,86.14
