YEAR_MONTH,REGION_CODE,REGION_NAME,BNF_CHEMICAL_SUBSTANCE_CODE,BNF_CHEMICAL_SUBSTANCE,ITEMS,NIC
202101,Y56,LONDON,0101021B0,Alginic acid compound preparations,38550.0,201644.65
202101,Y56,LONDON,0102000J0,Dicycloverine hydrochloride,164.0,33112.79
202101,Y56,LONDON,0102000L0,Glycopyrronium bromide,801.0,252101.4
202101,Y56,LONDON,0102000N0,Hyoscine butylbromide,10281.0,41760.02
202101,Y56,LONDON,0102000P0,Mebeverine hydrochloride,13512.0,83938.17
202101,Y56,LONDON,0102000T0,Peppermint oil,4877.0,39212.98
202101,Y56,LONDON,0102000Y0,Propantheline bromide,409.0,8367.62
202101,Y56,LONDON,0103010H0,Famotidine,5383.0,166294.39
202101,Y56,LONDON,0103010N0,Nizatidine,899.0,17779.55
202101,Y56,LONDON,0103030S0,Sucralfate,262.0,54968.89
202101,Y56,LONDON,0103050E0,Esomeprazole,17609.0,167661.63999999998
202101,Y56,LONDON,0103050L0,Lansoprazole,294648.0,464170.35
202101,Y56,LONDON,0103050P0,Omeprazole,338019.0,962236.67
202101,Y56,LONDON,0103050R0,Pantoprazole,13190.0,43731.89
202101,Y56,LONDON,0104020L0,Loperamide hydrochloride,12311.0,93434.18
202101,Y56,LONDON,0105010B0,Mesalazine (Systemic),17207.0,1157017.19
202101,Y56,LONDON,0105010E0,Sulfasalazine,6407.0,80016.46
202101,Y56,LONDON,0105020A0,Budesonide,768.0,61316.02
202101,Y56,LONDON,0105020D0,Prednisolone sodium metasulphobenzoate,214.0,66198.0
202101,Y56,LONDON,0105020E0,Prednisolone sodium phosphate,37.0,6756.240000000001
202101,Y56,LONDON,0105040A0,Sodium cromoglicate,133.0,9939.45
202101,Y56,LONDON,0106010E0,Ispaghula husk,8255.0,51830.53
202101,Y56,LONDON,0106020C0,Bisacodyl,17103.0,35259.71
202101,Y56,LONDON,0106020I0,Docusate sodium,21835.0,112288.81
202101,Y56,LONDON,0106020M0,Senna,59768.0,135193.16
202101,Y56,LONDON,0106020P0,Sodium picosulfate,1121.0,9266.15
202101,Y56,LONDON,0106040G0,Lactulose,29317.0,123358.85
202101,Y56,LONDON,0106040M0,Macrogol 3350,62234.0,484387.36
202101,Y56,LONDON,0106040N0,Phosphates (Rectal),822.0,105896.49
202101,Y56,LONDON,0106070A0,Prucalopride,1518.0,96420.41
202101,Y56,LONDON,0106070B0,Linaclotide,503.0,25240.32
202101,Y56,LONDON,0107020J0,Hydrocortisone,8641.0,51090.93
202101,Y56,LONDON,0107040A0,Glyceryl trinitrate,1248.0,50670.59
202101,Y56,LONDON,0109010U0,Ursodeoxycholic acid,3345.0,113251.73
202101,Y56,LONDON,0109040N0,Pancreatin,6101.0,365079.27
202101,Y56,LONDON,0201010F0,Digoxin,24568.0,30496.65
202101,Y56,LONDON,0202010B0,Bendroflumethiazide,65635.0,74354.64
202101,Y56,LONDON,0202010P0,Indapamide,61546.0,253618.08
202101,Y56,LONDON,0202020D0,Bumetanide,21192.0,53141.490000000005
202101,Y56,LONDON,0202020L0,Furosemide,105160.0,110685.11
202101,Y56,LONDON,0202030C0,Amiloride hydrochloride,1630.0,88200.9
202101,Y56,LONDON,0202030S0,Spironolactone,31409.0,62353.15
202101,Y56,LONDON,0202030X0,Eplerenone,11480.0,85721.17
202101,Y56,LONDON,0204000AB,Nebivolol,5066.0,23845.16
202101,Y56,LONDON,0204000E0,Atenolol,43866.0,47995.44
202101,Y56,LONDON,0204000H0,Bisoprolol fumarate,257995.0,277042.26
202101,Y56,LONDON,0204000K0,Metoprolol tartrate,4741.0,22719.53
202101,Y56,LONDON,0204000R0,Propranolol hydrochloride,46377.0,210126.39
202101,Y56,LONDON,0205020M0,Moxonidine,3603.0,40539.57
202101,Y56,LONDON,0205040D0,Doxazosin mesilate,86879.0,219484.75
202101,Y56,LONDON,0205051I0,Enalapril maleate,17189.0,191685.95
202101,Y56,LONDON,0205051L0,Lisinopril,68304.0,124492.13
202101,Y56,LONDON,0205051M0,Perindopril erbumine,29530.0,118860.36
202101,Y56,LONDON,0205051R0,Ramipril,306401.0,477773.13
202101,Y56,LONDON,0205052AE,Sacubitril/valsartan,3774.0,301182.11
202101,Y56,LONDON,0205052C0,Candesartan cilexetil,63175.0,203558.22
202101,Y56,LONDON,0205052I0,Irbesartan,28355.0,198084.84
202101,Y56,LONDON,0205052N0,Losartan potassium,124923.0,294790.92
202101,Y56,LONDON,0205052V0,Valsartan,3392.0,63211.13
202101,Y56,LONDON,0206010F0,Glyceryl trinitrate,13566.0,50658.68
202101,Y56,LONDON,0206010K0,Isosorbide mononitrate,42295.0,141681.65
202101,Y56,LONDON,0206020A0,Amlodipine,403525.0,556659.95
202101,Y56,LONDON,0206020C0,Diltiazem hydrochloride,20605.0,206187.11
202101,Y56,LONDON,0206020F0,Felodipine,23237.0,159651.27
202101,Y56,LONDON,0206020L0,Lercanidipine hydrochloride,13340.0,43945.11
202101,Y56,LONDON,0206020R0,Nifedipine,17561.0,167717.45
202101,Y56,LONDON,0206020T0,Verapamil hydrochloride,4885.0,40115.37
202101,Y56,LONDON,0206030N0,Nicorandil,11636.0,40800.81
202101,Y56,LONDON,0206030Y0,Ivabradine,5211.0,65141.16
202101,Y56,LONDON,0206030Z0,Ranolazine,6937.0,250871.71
202101,Y56,LONDON,0207020Y0,Midodrine hydrochloride,1253.0,58564.07
202101,Y56,LONDON,0208010D0,Enoxaparin,1206.0,143849.3
202101,Y56,LONDON,0208010L0,Dalteparin sodium,397.0,46901.65
202101,Y56,LONDON,0208010W0,Tinzaparin sodium,663.0,113064.39
202101,Y56,LONDON,0208020AA,Edoxaban,12480.0,582043.0
202101,Y56,LONDON,0208020V0,Warfarin sodium,39151.0,78809.23
202101,Y56,LONDON,0208020W0,INR blood testing reagents,321.0,29511.59
202101,Y56,LONDON,0208020X0,Dabigatran etexilate,1481.0,78970.1
202101,Y56,LONDON,0208020Y0,Rivaroxaban,43103.0,2139859.8
202101,Y56,LONDON,0208020Z0,Apixaban,67989.0,2908541.92
202101,Y56,LONDON,0209000A0,Aspirin,226904.0,252651.86
202101,Y56,LONDON,0209000C0,Clopidogrel,104391.0,156603.3
202101,Y56,LONDON,0209000L0,Dipyridamole,1873.0,30449.73
202101,Y56,LONDON,0209000Z0,Ticagrelor,5977.0,330257.0
202101,Y56,LONDON,0211000P0,Tranexamic acid,6861.0,66094.03
202101,Y56,LONDON,0212000AA,Rosuvastatin calcium,30009.0,80105.53
202101,Y56,LONDON,0212000AB,Omega-3-acid ethyl esters,1545.0,52503.97
202101,Y56,LONDON,0212000AD,Colesevelam hydrochloride,1569.0,149758.73
202101,Y56,LONDON,0212000B0,Atorvastatin,576852.0,1013261.81
202101,Y56,LONDON,0212000F0,Colestyramine,936.0,27473.96
202101,Y56,LONDON,0212000L0,Ezetimibe,22747.0,70074.92
202101,Y56,LONDON,0212000P0,Fenofibrate,6196.0,33906.54
202101,Y56,LONDON,0212000X0,Pravastatin sodium,19432.0,34793.5
202101,Y56,LONDON,0212000Y0,Simvastatin,172910.0,246751.37
202101,Y56,LONDON,0301011AB,Beclometdiprop/formoterol/glycopyrronium,6363.0,344118.5
202101,Y56,LONDON,0301011R0,Salbutamol,198303.0,527060.42
202101,Y56,LONDON,0301011U0,Salmeterol,2077.0,86814.68000000001
202101,Y56,LONDON,0301011V0,Terbutaline sulphate,3176.0,36872.98
202101,Y56,LONDON,0301020Q0,Tiotropium bromide,28077.0,1026153.89
202101,Y56,LONDON,0301020R0,Aclidinium bromide,1207.0,50115.0
202101,Y56,LONDON,0301020S0,Glycopyrronium bromide,2338.0,84553.62
202101,Y56,LONDON,0301020T0,Umeclidinium bromide,3288.0,114675.0
202101,Y56,LONDON,0301030S0,Theophylline,2431.0,7532.57
202101,Y56,LONDON,0301040V0,Aclidinium bromide/formoterol,1439.0,61457.5
202101,Y56,LONDON,0301040W0,Umeclidinium bromide/vilanterol,5262.0,222885.0
202101,Y56,LONDON,0301040X0,Tiotropium bromide/olodaterol,1415.0,56355.0
202101,Y56,LONDON,0301040Y0,Indacaterol/glycopyrronium,1853.0,80090.48
202101,Y56,LONDON,0302000C0,Beclometasone dipropionate,115329.0,2511099.76
202101,Y56,LONDON,0302000K0,Budesonide,35570.0,1409111.98
