YEAR_MONTH,BNF_SECTION_CODE,BNF_SECTION,ITEMS,TOTAL_QUANTITY,NIC
202101,1001,Drugs used in rheumatic diseases and gout,1735043.0,80368519.0,9427170.85
202101,1002,Drugs used in neuromuscular disorders,129279.0,21493740.0,982855.28
202101,1003,Drugs for soft-tissue disorders and topical pain relief,526951.0,56361267.0,2899084.21
202101,101,Dyspepsia and gastro-oesophageal reflux disease,374578.0,184312400.0,2216398.6
202101,102,Antispasmodics and other drugs altering gut motility,387339.0,33319240.0,4818521.11
202101,103,Antisecretory drugs and mucosal protectants,5813740.0,210476164.0,16278309.14
202101,104,Acute diarrhoea,132853.0,12122943.0,1052901.51
202101,105,Chronic bowel disorders,216558.0,26552509.0,9867933.19
202101,106,Laxatives,1552974.0,211880459.0,9761027.68
202101,107,Local preparations for anal and rectal disorders,111095.0,2946663.0,769308.1699999999
202101,108,Stoma care,7.0,722.0,39.8
202101,109,Drugs affecting intestinal secretions,79250.0,17254846.0,4307012.98
202101,1103,Anti-infective eye preparations,77426.0,686002.5,662021.21
202101,1104,Corticosteroids and other anti-inflammatory preparations,131334.0,2140229.5,1680905.2799999998
202101,1105,Mydriatics and cycloplegics,6931.0,130148.0,441839.92
202101,1106,Treatment of glaucoma,768568.0,10639456.5,8529250.620000001
202101,1107,Local anaesthetics,34.0,575.0,318.61
202101,1108,Miscellaneous ophthalmic preparations,307689.0,7519798.0,1767757.16
202101,1201,Drugs acting on the ear,128035.0,784686.0,672170.45
202101,1202,Drugs acting on the nose,593885.0,2943915.0,4473725.85
202101,1203,Drugs acting on the oropharynx,78255.0,17089317.6,554665.17
202101,1301,Management of skin conditions,4339.0,2397170.0,16351.36
202101,1302,Emollient and barrier preparations,556904.0,283405050.0,4080220.84
202101,1303,Topical local anaesthetics and antipruritics,22090.0,5806743.0,209184.6
202101,1304,Topical corticosteroids,906995.0,48994974.0,4970284.0600000005
202101,1305,Preparations for eczema and psoriasis,129524.0,11407931.0,5730339.5600000005
202101,1306,Acne and rosacea,148228.0,6900965.0,2497552.79
202101,1307,Preparations for warts and calluses,9359.0,130346.0,195024.48
202101,1308,Sunscreens and camouflagers,23411.0,1366192.0,766201.5700000001
202101,1309,Shampoos and other preparations for scalp and hair conditions,100956.0,20332116.0,719113.27
202101,1310,Anti-infective skin preparations,219590.0,6924585.5,1191534.0
202101,1311,"Skin cleansers,antiseptics and desloughing agents",18614.0,9071963.0,168476.39
202101,1312,Antiperspirants,2980.0,178453.0,21116.09
202101,1313,Wound management products,1444.0,15626.0,54222.22
202101,1314,Topical circulatory preparations,6615.0,426450.0,34030.71
202101,1315,Miscellaneous topical preparations,147.0,25350.0,13830.29
202101,1404,Vaccines and antisera,600068.0,600389.0,5788677.3
202101,1405,Immunoglobulins,2.0,6.0,264.75
202101,1501,General anaesthesia,41483.0,13450695.0,386032.41
202101,1502,Local anaesthesia,76724.0,1608539.0,1451669.4300000002
202101,1803,X-Ray contrast media,7.0,3500.0,612.5
202101,1902,Selective preparations,34587.0,11237152.0,759898.6599999999
202101,1904,Single substances,160.0,126090.0,3983.77
202101,1905,Other preparations,918.0,48488.0,11300.45
202101,1906,Acids,372.0,128268.0,7542.04
202101,1907,"Base,diluent, suspending agents and stabilisers",43620.0,31988503.0,1570596.85
202101,1908,"Colouring,flavouring and sweetening agents",2.0,200.0,43.58
202101,1909,"Disinfectants, preservatives and sterilising agents",3.0,1500.0,130.6
202101,1913,Cordials and soft drinks,97.0,421002.0,2880.54
202101,1914,Waters,931.0,9775716.0,9037.31
202101,2001,Absorbent Cottons,155.0,100475.0,1195.64
202101,2002,Arm Sling/Bandages,49132.0,696092.0,1205610.61
202101,2003,Wound Management & Other Dressings,303371.0,5567243.1,9787190.05
202101,2004,Gauzes & Gauze Tissue,7254.0,429213.0,204114.36
202101,2005,Tracheostomy & Laryngectomy Appliances,15804.0,814569.0,1365621.99
202101,2006,Foam,1.0,4.0,20.82
202101,2007,Lints,27.0,22125.0,578.84
202101,2009,Stockinette,44866.0,398267.5,567096.1799999999
202101,201,Positive inotropic drugs,220518.0,5757730.0,338030.59
202101,2010,Surgical Adhesive Tape,23039.0,319605.0,89545.14
