bua_nombre,poblacion,n_farmacias,objetos_1000m_prom,dist_cs_prom,imd_prom,rural_dummy,n_farmacias_ciudad,hab_x_farmacia,bua_poblacion,objetos_1000m,dist_centro_salud_m,imd20ind,es_cadena_nacional,es_cadena_regional,es_supermercado,monopolio_local,venta_predicha_nueva
Abbots Langley and Kings Langley,18205.0,4,3.0,182.5,24180.75,0.0,5,3641.0,18205.0,3.0,182.5,24180.75,0,0,0,0,8510.195863900182
Abingdon-on-Thames,33175.0,6,2.6666666666666665,398.5,23448.166666666668,0.0,7,4739.285714285715,33175.0,2.6666666666666665,398.5,23448.166666666668,0,0,0,0,8137.389779454125
Accrington,34895.0,12,11.166666666666666,383.8333333333333,3482.0,0.0,13,2684.230769230769,34895.0,11.166666666666666,383.8333333333333,3482.0,0,0,0,0,7329.9665931472555
Ackworth Moor Top,6280.0,1,1.0,0.0,21704.0,1.0,2,3140.0,6280.0,1.0,0.0,21704.0,0,0,0,0,10058.556854245368
Acle,2265.0,1,1.0,282.0,16656.0,1.0,2,1132.5,2265.0,1.0,282.0,16656.0,0,0,0,0,6732.764634948638
Addingham,3250.0,1,1.0,0.0,22949.0,1.0,2,1625.0,3250.0,1.0,0.0,22949.0,0,0,0,0,8526.794509505264
Addlestone,13745.0,2,3.0,200.5,23607.5,0.0,3,4581.666666666667,13745.0,3.0,200.5,23607.5,0,0,0,0,8623.48324291598
Adlington (Chorley),8780.0,2,2.5,402.5,16126.0,1.0,3,2926.6666666666665,8780.0,2.5,402.5,16126.0,0,0,0,0,7846.510102688741
Adwick le Street,18325.0,7,2.5714285714285716,1169.7142857142858,5389.857142857143,0.0,8,2290.625,18325.0,2.5714285714285716,1169.7142857142858,5389.857142857143,0,0,0,0,7204.224507745381
Aintree,6215.0,3,2.3333333333333335,1660.6666666666667,12574.333333333334,0.0,4,1553.75,6215.0,2.3333333333333335,1660.6666666666667,12574.333333333334,0,0,0,0,6774.329930524328
Albrighton,6985.0,1,1.0,374.0,30803.0,1.0,2,3492.5,6985.0,1.0,374.0,30803.0,0,0,0,0,7406.14220524002
Alcester,6425.0,3,3.0,509.0,23303.666666666668,1.0,4,1606.25,6425.0,3.0,509.0,23303.666666666668,0,0,0,0,6165.200198300994
Alconbury,1465.0,1,1.0,372.0,25691.0,1.0,2,732.5,1465.0,1.0,372.0,25691.0,0,0,0,0,5415.444741812811
Aldeburgh,2425.0,1,1.0,368.0,18299.0,1.0,2,1212.5,2425.0,1.0,368.0,18299.0,0,0,0,0,6746.666112905112
Alderley Edge,4495.0,2,2.0,311.5,31199.5,0.0,3,1498.3333333333333,4495.0,2.0,311.5,31199.5,0,0,0,0,6064.104849434877
Aldershot,39825.0,8,3.625,409.875,14473.875,0.0,9,4425.0,39825.0,3.625,409.875,14473.875,0,0,0,0,8351.175987052606
Aldridge,15835.0,4,2.25,660.75,21923.75,0.0,5,3167.0,15835.0,2.25,660.75,21923.75,0,0,0,0,7284.302131102906
